symbol,date,price
eu,Aug 2010,282
eu,Sep 2010,1188
eu,Oct 2010,1740
eu,Nov 2010,1530
eu,Dec 2010,273
eu,Jan 2011,5274
eu,Feb 2011,9744
eu,Mar 2011,13869
eu,Apr 2011,9390
eu,May 2011,3759
eu,Jun 2011,4998
eu,Jul 2011,6264
eu,Aug 2011,7680
eu,Sep 2011,9033
eu,Oct 2011,7020
eu,Nov 2011,8967
eu,Dec 2011,13848
eu,Jan 2012,10647
eu,Feb 2012,22950
eu,Mar 2012,15906
eu,Apr 2012,71571
eu,May 2012,72111
eu,Jun 2012,18306
eu,Jul 2012,40386
eu,Aug 2012,15081
eu,Sep 2012,12738
eu,Oct 2012,14700
eu,Nov 2012,16521
eu,Dec 2012,19731
eu,Jan 2013,5487
eu,Feb 2013,165
ni,Aug 2010,376
ni,Sep 2010,1584
ni,Oct 2010,2320
ni,Nov 2010,2040
ni,Dec 2010,364
ni,Jan 2011,7032
ni,Feb 2011,12992
ni,Mar 2011,18492
ni,Apr 2011,12520
ni,May 2011,5012
ni,Jun 2011,6664
ni,Jul 2011,8352
ni,Aug 2011,10240
ni,Sep 2011,12044
ni,Oct 2011,9360
ni,Nov 2011,11956
ni,Dec 2011,18464
ni,Jan 2012,14196
ni,Feb 2012,30600
ni,Mar 2012,21208
ni,Apr 2012,95428
ni,May 2012,96148
ni,Jun 2012,24408
ni,Jul 2012,53848
ni,Aug 2012,20108
ni,Sep 2012,16984
ni,Oct 2012,19600
ni,Nov 2012,22028
ni,Dec 2012,26308
ni,Jan 2013,7316
ni,Feb 2013,220
os,Aug 2010,94
os,Sep 2010,396
os,Oct 2010,580
os,Nov 2010,510
os,Dec 2010,91
os,Jan 2011,1758
os,Feb 2011,3248
os,Mar 2011,4623
os,Apr 2011,3130
os,May 2011,1253
os,Jun 2011,1666
os,Jul 2011,2088
os,Aug 2011,2560
os,Sep 2011,3011
os,Oct 2011,2340
os,Nov 2011,2989
os,Dec 2011,4616
os,Jan 2012,3549
os,Feb 2012,7650
os,Mar 2012,5302
os,Apr 2012,23857
os,May 2012,24037
os,Jun 2012,6102
os,Jul 2012,13462
os,Aug 2012,5027
os,Sep 2012,4246
os,Oct 2012,4900
os,Nov 2012,5507
os,Dec 2012,6577
os,Jan 2013,1829
os,Feb 2013,55
